user_played, instrument_name, velocity, pitch, start (s), end (s)
True,piano,14,61,2.0367636875,3.0955866874999995
True,piano,16,65,2.117646,3.1764689999999995
True,piano,14,56,2.117646,3.7058804999999997
True,piano,15,49,2.117646,3.7058804999999997
True,piano,15,53,2.117646,3.7058804999999997
True,piano,16,67,3.52941,3.882351
True,piano,14,68,3.882351,4.235292
True,piano,15,67,4.235292,5.02940925
True,piano,14,58,4.235292,5.8235265
True,piano,13,61,4.235292,5.8235265
True,piano,11,51,4.235292,5.8235265
True,piano,13,55,4.235292,5.8235265
True,piano,16,68,5.647056,5.9999970000000005
True,piano,14,70,5.9999970000000005,6.352937999999999
True,piano,14,68,6.352937999999999,6.97058475
True,piano,15,60,6.352937999999999,7.9411725
True,piano,12,63,6.352937999999999,7.9411725
True,piano,15,56,6.352937999999999,7.9411725
True,piano,15,67,7.411760999999999,8.117643
True,piano,14,56,8.470584,10.0588185
True,piano,12,60,8.470584,10.0588185
True,piano,13,53,8.470584,10.0588185
True,piano,12,65,8.470584,10.0588185
True,piano,14,61,10.5073476875,11.7426411875
True,piano,16,65,10.58823,11.8235235
True,piano,12,53,10.58823,12.1764645
True,piano,12,58,10.58823,12.1764645
True,piano,8,46,10.58823,12.1764645
True,piano,13,49,10.58823,12.1764645
True,piano,16,67,11.999994000000001,12.352935
True,piano,14,68,12.352935,12.705875999999998
True,piano,15,72,12.705875999999998,13.499993250000001
True,piano,15,55,12.705875999999998,14.2941105
True,piano,14,51,12.705875999999998,14.2941105
True,piano,13,58,12.705875999999998,14.2941105
True,piano,14,70,13.764699,14.647051499999998
True,piano,15,70,14.823521999999999,15.97058025
True,piano,12,60,14.823521999999999,16.4117565
True,piano,12,56,14.823521999999999,16.4117565
True,piano,11,63,14.823521999999999,16.4117565
True,piano,15,67,16.235286,16.588227
True,piano,15,68,16.588227,16.941168
True,piano,12,65,16.941168,18.26469675
True,piano,14,56,16.941168,18.5294025
True,piano,12,53,16.941168,18.5294025
True,piano,13,60,16.941168,18.5294025
True,piano,15,68,19.014696375,19.367637374999997
True,piano,16,72,19.058814,19.32351975
True,piano,15,53,19.058814,19.85293125
True,piano,15,41,19.058814,19.85293125
True,piano,14,48,19.058814,19.85293125
True,piano,16,68,19.411755,19.67646075
True,piano,17,72,19.411755,19.67646075
True,piano,16,72,19.764696,19.85293125
True,piano,15,72,19.941166499999998,20.38234275
True,piano,14,53,20.117637,20.911754249999998
True,piano,12,60,20.117637,20.911754249999998
True,piano,12,56,20.117637,20.911754249999998
True,piano,15,72,20.470578,20.55881325
True,piano,15,72,20.6470485,20.911754249999998
True,piano,15,72,20.9999895,21.44116575
True,piano,12,53,21.17646,21.97057725
True,piano,12,56,21.17646,21.97057725
True,piano,12,60,21.17646,21.97057725
True,piano,15,70,21.529400999999996,21.7058715
True,piano,14,68,21.7058715,22.4117535
True,piano,12,60,22.235283,23.02940025
True,piano,11,56,22.235283,23.02940025
True,piano,11,53,22.235283,23.02940025
True,piano,14,68,22.7646945,22.941164999999998
True,piano,15,70,22.941164999999998,23.117635500000002
True,piano,16,72,23.117635500000002,23.294106
True,piano,15,73,23.294106,23.735282249999997
True,piano,14,41,23.294106,24.1764585
True,piano,15,34,23.294106,24.1764585
True,piano,15,46,23.294106,24.1764585
True,piano,15,72,23.823517499999998,23.999988000000002
True,piano,15,70,23.999988000000002,24.1764585
True,piano,14,72,24.1764585,24.352929
True,piano,13,73,24.352929,25.058811000000002
True,piano,12,49,24.352929,25.2352815
True,piano,12,53,24.352929,25.2352815
True,piano,12,56,24.352929,25.2352815
True,piano,14,46,24.352929,25.2352815
True,piano,12,56,25.411751999999996,26.2941045
True,piano,12,53,25.411751999999996,26.2941045
True,piano,12,49,25.411751999999996,26.2941045
True,piano,12,46,25.411751999999996,26.2941045
True,piano,11,70,25.411751999999996,26.2941045
True,piano,11,65,25.411751999999996,26.2941045
True,piano,11,61,25.411751999999996,26.2941045
True,piano,7,61,26.470575,27.26469225
True,piano,7,65,26.470575,27.26469225
True,piano,7,70,26.470575,27.26469225
True,piano,13,56,26.470575,27.352927499999996
True,piano,13,53,26.470575,27.352927499999996
True,piano,12,49,26.470575,27.352927499999996
True,piano,12,46,26.470575,27.352927499999996
True,piano,15,63,27.470574499999998,27.8235155
True,piano,16,70,27.529398,27.79410375
True,piano,15,51,27.529398,28.4117505
True,piano,15,39,27.529398,28.4117505
True,piano,14,46,27.529398,28.4117505
True,piano,15,70,27.882339,28.147044750000003
True,piano,15,70,28.23528,28.32351525
True,piano,14,70,28.4117505,28.852926749999998
True,piano,12,61,28.588221,29.4705735
True,piano,12,58,28.588221,29.4705735
True,piano,14,51,28.588221,29.4705735
True,piano,12,55,28.588221,29.4705735
True,piano,15,70,28.941162000000002,29.02939725
True,piano,15,70,29.1176325,29.38233825
True,piano,15,70,29.4705735,29.91174975
True,piano,12,61,29.647043999999998,30.5293965
True,piano,12,58,29.647043999999998,30.5293965
True,piano,12,51,29.647043999999998,30.5293965
True,piano,12,55,29.647043999999998,30.5293965
True,piano,12,63,29.999985,30.882337500000002
True,piano,13,58,30.705866999999998,31.588219499999997
True,piano,13,61,30.705866999999998,31.588219499999997
True,piano,12,55,30.705866999999998,31.588219499999997
True,piano,12,51,30.705866999999998,31.588219499999997
True,piano,14,63,31.235278499999996,31.411749
True,piano,15,68,31.411749,31.588219499999997
True,piano,16,70,31.588219499999997,31.76469
True,piano,15,72,31.76469,32.20586625
True,piano,14,39,31.76469,32.6470425
True,piano,15,32,31.76469,32.6470425
True,piano,15,44,31.76469,32.6470425
True,piano,15,70,32.294101500000004,32.470572
True,piano,15,68,32.470572,32.6470425
True,piano,14,70,32.6470425,32.823513
True,piano,13,72,32.823513,33.44115975
True,piano,12,48,32.823513,33.7058655
True,piano,12,51,32.823513,33.7058655
True,piano,14,44,32.823513,33.7058655
True,piano,12,56,32.823513,33.7058655
True,piano,10,63,33.882336,34.67645325
True,piano,10,68,33.882336,34.67645325
True,piano,10,60,33.882336,34.67645325
True,piano,12,51,33.882336,34.7646885
True,piano,12,48,33.882336,34.7646885
True,piano,12,56,33.882336,34.7646885
True,piano,12,44,33.882336,34.7646885
True,piano,7,60,34.941159,35.73527625
True,piano,7,63,34.941159,35.73527625
True,piano,7,68,34.941159,35.73527625
True,piano,12,44,34.941159,35.8235115
True,piano,13,51,34.941159,35.8235115
True,piano,12,48,34.941159,35.8235115
True,piano,13,56,34.941159,35.8235115
True,piano,16,68,35.999981999999996,36.26468775
True,piano,16,72,35.999981999999996,36.26468775
True,piano,15,53,35.999981999999996,36.8823345
True,piano,14,48,35.999981999999996,36.8823345
True,piano,15,41,35.999981999999996,36.8823345
True,piano,16,72,36.352923,36.44115825
True,piano,16,72,36.5293935,36.97056975
True,piano,16,72,37.058805,37.49998125
True,piano,12,60,37.058805,37.941157499999996
True,piano,14,53,37.058805,37.941157499999996
True,piano,12,56,37.058805,37.941157499999996
True,piano,15,72,37.5882165,38.02939275
True,piano,15,72,38.117628,38.38233375
True,piano,12,56,38.117628,38.9999805
True,piano,12,53,38.117628,38.9999805
True,piano,12,60,38.117628,38.9999805
True,piano,14,70,38.470569,38.6470395
True,piano,13,68,38.6470395,38.9999805
True,piano,16,77,39.176451,39.44115675
True,piano,16,65,39.176451,39.44115675
True,piano,11,53,39.176451,40.0588035
True,piano,12,60,39.176451,40.0588035
True,piano,11,56,39.176451,40.0588035
True,piano,16,79,39.529392,39.79409775
True,piano,16,67,39.529392,39.79409775
True,piano,14,68,39.882332999999996,40.235274
True,piano,14,80,39.882332999999996,40.235274
True,piano,15,73,40.235274,40.676450249999995
True,piano,15,34,40.235274,41.1176265
True,piano,14,41,40.235274,41.1176265
True,piano,15,46,40.235274,41.1176265
True,piano,15,72,40.7646855,40.941156
True,piano,15,70,40.941156,41.1176265
True,piano,14,72,41.1176265,41.294097
True,piano,14,58,41.294097,42.1764495
True,piano,12,61,41.294097,42.1764495
True,piano,12,63,41.294097,42.1764495
True,piano,13,73,41.294097,42.970566749999996
True,piano,12,61,42.35292,43.2352725
True,piano,12,58,42.35292,43.2352725
True,piano,12,63,42.35292,43.2352725
True,piano,10,63,43.411743,44.2940955
True,piano,9,61,43.411743,44.2940955
True,piano,10,58,43.411743,44.2940955
True,piano,16,70,44.470566,44.73527175
True,piano,14,46,44.470566,45.352918499999994
True,piano,15,39,44.470566,45.352918499999994
True,piano,15,51,44.470566,45.352918499999994
True,piano,15,70,44.823507,45.08821275
True,piano,15,70,45.176448,45.441153750000005
True,piano,14,70,45.529389,45.79409475
True,piano,12,58,45.529389,46.4117415
True,piano,12,61,45.529389,46.4117415
True,piano,12,55,45.529389,46.4117415
True,piano,14,51,45.529389,46.4117415
True,piano,15,70,45.882329999999996,45.97056525
True,piano,15,70,46.0588005,46.49997675
True,piano,15,70,46.588212,46.94115299999999
True,piano,12,61,46.588212,48.529387500000006
True,piano,12,58,46.588212,48.529387500000006
True,piano,12,51,46.588212,48.529387500000006
True,piano,12,55,46.588212,48.529387500000006
True,piano,12,63,46.94115299999999,47.55879975
True,piano,16,70,47.647034999999995,47.999976000000004
True,piano,16,82,47.647034999999995,47.999976000000004
True,piano,17,84,47.999976000000004,48.1764465
True,piano,17,72,47.999976000000004,48.1764465
True,piano,15,85,48.1764465,48.61762275
True,piano,15,73,48.1764465,48.61762275
True,piano,14,39,48.705858,49.5882105
True,piano,15,44,48.705858,49.5882105
True,piano,15,32,48.705858,49.5882105
True,piano,14,84,48.705858,49.764680999999996
True,piano,14,72,48.705858,49.764680999999996
True,piano,12,48,49.764680999999996,50.6470335
True,piano,12,56,49.764680999999996,50.6470335
True,piano,12,51,49.764680999999996,50.6470335
True,piano,14,44,49.764680999999996,50.6470335
True,piano,14,70,50.117622000000004,50.470563
True,piano,14,82,50.117622000000004,50.470563
True,piano,14,68,50.470563,50.82350399999999
True,piano,14,80,50.470563,50.82350399999999
True,piano,12,44,50.82350399999999,51.7058565
True,piano,12,51,50.82350399999999,51.7058565
True,piano,12,48,50.82350399999999,51.7058565
True,piano,12,56,50.82350399999999,51.7058565
True,piano,12,79,50.82350399999999,51.79409175
True,piano,12,67,50.82350399999999,51.79409175
True,piano,12,44,51.882327000000004,52.7646795
True,piano,13,51,51.882327000000004,52.7646795
True,piano,12,48,51.882327000000004,52.7646795
True,piano,13,56,51.882327000000004,52.7646795
True,piano,15,68,52.235268,52.588209
True,piano,15,67,52.588209,52.94115
True,piano,15,65,52.94115,53.73526725
True,piano,12,49,52.94115,56.47056
True,piano,14,53,52.94115,56.47056
True,piano,12,58,52.94115,56.47056
True,piano,13,46,52.94115,56.47056
True,piano,15,67,53.999973000000004,54.79409025
True,piano,16,68,55.058796,56.6470305
True,piano,15,65,57.176442,58.0587945
True,piano,12,67,57.176442,58.0587945
True,piano,12,51,57.176442,59.02938225
True,piano,11,55,57.176442,59.02938225
True,piano,12,58,57.176442,59.02938225
True,piano,12,63,57.176442,59.02938225
True,piano,13,68,58.235265,59.02938225
True,piano,16,67,58.235265,59.02938225
True,piano,14,68,59.2132056875,60.096477304687504
True,piano,15,72,59.243536554687495,60.215043421875
True,piano,16,73,59.2950071171875,60.442984484374996
True,piano,9,58,59.2950071171875,61.148866484375
True,piano,10,51,59.2950071171875,61.148866484375
True,piano,7,55,59.2950071171875,61.148866484375
True,piano,9,61,59.2950071171875,61.148866484375
True,piano,20,72,60.707690234375,60.972395984375
True,piano,18,65,60.707690234375,60.972395984375
True,piano,17,65,61.060631234374995,61.32533698437499
True,piano,16,72,61.060631234374995,61.32533698437499
True,piano,19,65,61.413572234375,61.942983734375
True,piano,21,73,61.413572234375,61.942983734375
True,piano,18,49,61.413572234375,62.207689484375
True,piano,22,46,61.413572234375,62.207689484375
True,piano,19,41,61.413572234375,62.207689484375
True,piano,18,65,62.119454234375006,62.384159984375
True,piano,18,73,62.119454234375006,62.384159984375
True,piano,23,65,62.472395234375,62.648865734375
True,piano,20,73,62.472395234375,62.648865734375
True,piano,16,49,62.472395234375,62.825336234374994
True,piano,20,53,62.472395234375,62.825336234374994
