user_played, instrument_name, velocity, pitch, start (s), end (s)
True,piano,80,73,0.0,0.14125
False,piano,80,45,0.0,0.56875
False,piano,80,49,0.0,0.56875
False,piano,80,52,0.0,0.56875
False,piano,80,57,0.0,0.56875
True,piano,80,69,0.15,0.29125
True,piano,80,73,0.3,0.44125
True,piano,80,76,0.45,0.59125
True,piano,80,81,0.6,0.74125
True,piano,80,85,0.75,0.89125
True,piano,80,88,0.9,1.04125
False,piano,80,45,0.9,1.46875
False,piano,80,49,0.9,1.46875
False,piano,80,52,0.9,1.46875
False,piano,80,57,0.9,1.46875
True,piano,80,93,1.05,1.19125
True,piano,80,88,1.2,1.34125
True,piano,80,85,1.35,1.49125
True,piano,80,81,1.5,1.64125
True,piano,80,76,1.65,1.79125
True,piano,80,73,1.8,2.22625
False,piano,80,45,1.8,2.36875
False,piano,80,49,1.8,2.36875
False,piano,80,52,1.8,2.36875
False,piano,80,57,1.8,2.36875
True,piano,80,73,2.25,2.39125
True,piano,80,68,2.4,2.54125
False,piano,80,44,2.4,2.96875
False,piano,80,49,2.4,2.96875
False,piano,80,52,2.4,2.96875
False,piano,80,56,2.4,2.96875
True,piano,80,73,2.55,2.69125
True,piano,80,76,2.7,2.84125
True,piano,80,81,2.85,2.99125
True,piano,80,85,3.0,3.14125
True,piano,80,88,3.15,3.29125
True,piano,80,92,3.3,3.44125
False,piano,80,44,3.3,3.86875
False,piano,80,49,3.3,3.86875
False,piano,80,52,3.3,3.86875
False,piano,80,56,3.3,3.86875
True,piano,80,97,3.45,3.59125
True,piano,80,92,3.6,3.74125
True,piano,80,88,3.75,3.89125
True,piano,80,85,3.9,4.04125
True,piano,80,80,4.05,4.19125
True,piano,80,76,4.2,4.34125
False,piano,80,44,4.2,4.76875
False,piano,80,49,4.2,4.76875
False,piano,80,52,4.2,4.76875
False,piano,80,56,4.2,4.76875
True,piano,80,73,4.35,4.49125
True,piano,80,68,4.5,4.64125
True,piano,80,73,4.65,4.79125
True,piano,80,73,4.8,5.22625
True,piano,80,78,4.8,5.22625
False,piano,80,49,4.8,5.36875
False,piano,80,54,4.8,5.36875
False,piano,80,57,4.8,5.36875
True,piano,80,73,5.25,5.67625
True,piano,80,81,5.25,5.67625
True,piano,80,73,5.7,5.98375
True,piano,80,76,5.7,5.98375
False,piano,80,49,5.7,6.26875
False,piano,80,54,5.7,6.26875
False,piano,80,57,5.7,6.26875
True,piano,80,73,6.0,6.56875
True,piano,80,78,6.0,6.56875
True,piano,80,73,6.6,7.16875
True,piano,80,81,6.6,7.16875
False,piano,80,49,6.6,7.16875
False,piano,80,54,6.6,7.16875
False,piano,80,57,6.6,7.16875
True,piano,80,73,7.2,7.34125
True,piano,80,78,7.2,7.34125
False,piano,80,49,7.2,7.76875
False,piano,80,54,7.2,7.76875
False,piano,80,57,7.2,7.76875
True,piano,80,73,7.35,7.63375
True,piano,80,73,7.65,8.07625
True,piano,80,81,7.65,8.07625
True,piano,80,73,8.1,8.38375
True,piano,80,76,8.1,8.38375
False,piano,80,49,8.1,8.66875
False,piano,80,54,8.1,8.66875
False,piano,80,57,8.1,8.66875
True,piano,80,73,8.4,8.68375
True,piano,80,78,8.4,8.68375
True,piano,80,73,8.7,8.98375
True,piano,80,73,9.0,9.56875
True,piano,80,81,9.0,9.56875
False,piano,80,49,9.0,9.56875
False,piano,80,54,9.0,9.56875
False,piano,80,57,9.0,9.56875
True,piano,80,69,9.6,9.74125
True,piano,80,74,9.6,9.74125
False,piano,80,50,9.6,10.16875
False,piano,80,54,9.6,10.16875
False,piano,80,57,9.6,10.16875
False,piano,80,62,9.6,10.16875
True,piano,80,78,9.75,9.89125
True,piano,80,81,9.9,10.04125
True,piano,80,86,10.05,10.19125
True,piano,80,90,10.2,10.48375
True,piano,80,86,10.5,10.78375
False,piano,80,49,10.5,11.06875
False,piano,80,54,10.5,11.06875
False,piano,80,57,10.5,11.06875
True,piano,80,73,10.8,10.94125
True,piano,80,78,10.95,11.09125
True,piano,80,81,11.1,11.24125
True,piano,80,85,11.25,11.39125
True,piano,80,90,11.4,11.68375
False,piano,80,49,11.4,11.96875
False,piano,80,54,11.4,11.96875
False,piano,80,57,11.4,11.96875
True,piano,80,86,11.7,11.98375
False,piano,80,47,12.0,12.56875
False,piano,80,50,12.0,12.56875
False,piano,80,54,12.0,12.56875
False,piano,80,59,12.0,12.56875
True,piano,80,76,12.15,12.29125
True,piano,80,78,12.3,12.44125
True,piano,80,81,12.45,12.59125
True,piano,80,86,12.6,12.88375
True,piano,80,85,12.9,13.18375
False,piano,80,45,12.9,13.46875
False,piano,80,49,12.9,13.46875
False,piano,80,52,12.9,13.46875
False,piano,80,57,12.9,13.46875
True,piano,80,69,13.2,13.34125
True,piano,80,73,13.35,13.49125
True,piano,80,76,13.5,13.64125
True,piano,80,81,13.65,13.79125
True,piano,80,85,13.8,14.08375
False,piano,80,45,13.8,14.36875
False,piano,80,49,13.8,14.36875
False,piano,80,52,13.8,14.36875
False,piano,80,57,13.8,14.36875
True,piano,80,83,14.1,14.38375
True,piano,80,64,14.4,14.54125
False,piano,80,52,14.4,14.96875
False,piano,80,56,14.4,14.96875
False,piano,80,59,14.4,14.96875
True,piano,80,68,14.55,14.69125
True,piano,80,71,14.7,14.84125
True,piano,80,76,14.85,14.99125
True,piano,80,80,15.0,15.14125
True,piano,80,83,15.15,15.29125
True,piano,80,80,15.3,15.44125
False,piano,80,52,15.3,15.86875
False,piano,80,56,15.3,15.86875
False,piano,80,59,15.3,15.86875
True,piano,80,76,15.45,15.59125
True,piano,80,71,15.6,15.74125
True,piano,80,68,15.75,15.89125
True,piano,80,76,15.9,16.04125
True,piano,80,68,16.05,16.19125
True,piano,80,71,16.2,16.34125
False,piano,80,52,16.2,16.76875
False,piano,80,56,16.2,16.76875
False,piano,80,59,16.2,16.76875
True,piano,80,76,16.35,16.49125
True,piano,80,80,16.5,16.64125
True,piano,80,83,16.65,16.79125
True,piano,80,80,16.8,16.94125
False,piano,80,52,16.8,17.36875
False,piano,80,56,16.8,17.36875
False,piano,80,59,16.8,17.36875
True,piano,80,76,16.95,17.09125
True,piano,80,71,17.1,17.24125
True,piano,80,68,17.25,17.39125
True,piano,80,76,17.4,17.54125
True,piano,80,78,17.55,17.69125
True,piano,80,80,17.7,17.84125
False,piano,80,52,17.7,18.26875
False,piano,80,56,17.7,18.26875
False,piano,80,59,17.7,18.26875
True,piano,80,83,17.85,17.99125
True,piano,80,80,18.0,18.14125
